house_age;total_rooms;total_bedrooms;median_income;ocean_proximity;price
26;32;8;2.225;<1H OCEAN;150000
33;45;11;5.2949;<1H OCEAN;350000
38;51;12;6.0224;<1H OCEAN;187500
6;78;11;3.125;INLAND;187500
52;65;17;4.5;NEAR OCEAN;258300
33;44;6;4.125;NEAR BAY;212500
33;1561;282;1.875;INLAND;500001
28;67;15;6.1359;<1H OCEAN;330000
8;32;9;4.1944;<1H OCEAN;270800
37;106;18;4.0556;INLAND;131300
46;66;11;2.375;NEAR OCEAN;275000
28;60;10;4.35;INLAND;67500
30;70;38;4.125;INLAND;112500
26;102;17;0.536;INLAND;87500
46;11;11;2.875;<1H OCEAN;162500
4;80;10;7.7197;INLAND;193800
49;60;11;2.5625;INLAND;75000
46;52;13;3.875;<1H OCEAN;200000
46;118;17;4.2639;NEAR OCEAN;350000
34;148;28;3.375;<1H OCEAN;67500
43;102;19;0.4999;INLAND;162500
34;81;26;1.4091;INLAND;137500
46;38;8;4.1667;<1H OCEAN;162500
16;56;7;2.625;INLAND;500001
16;343;85;2.1042;INLAND;87500
36;120;16;10.2264;INLAND;350000
40;96;14;3.2708;INLAND;162500
34;45;11;3.0625;INLAND;500001
36;40;10;2.625;INLAND;55000
42;42;14;1.7361;<1H OCEAN;500001
36;60;12;3.625;INLAND;67500
33;69;28;0.536;INLAND;112500
37;102;17;4.125;INLAND;72000
20;95;13;2.4444;NEAR BAY;475000
34;1988;511;4.625;INLAND;162500
1;83;15;4.875;INLAND;141700
7;77;12;4.6;INLAND;187500
17;97;24;1.2656;INLAND;27500
16;52;16;2.475;NEAR OCEAN;225000
12;57;22;5.0066;NEAR OCEAN;275000
10;81;41;4.9583;INLAND;87500
2;96;18;5.3374;INLAND;47500
52;154;;10.0263;INLAND;200000
30;48;14;5.0056;<1H OCEAN;162500
52;62;9;0.4999;INLAND;112500
21;49;14;5;NEAR OCEAN;87500
25;958;245;2.625;INLAND;67500
52;50;9;4.125;INLAND;262500
43;91;12;15.0001;<1H OCEAN;500001
8;40;10;4.0208;NEAR OCEAN;52500
12;99;25;1.8958;INLAND;53800
52;104;20;3.75;<1H OCEAN;241700
36;84;12;3.375;<1H OCEAN;187500
6;108;18;3.475;<1H OCEAN;187500
37;74;19;9.5908;<1H OCEAN;350000
14;388;108;6.1359;INLAND;106300
8;430;107;2.625;INLAND;187500
36;116;20;3.125;INLAND;37500
29;124;22;12.5381;INLAND;112500
26;90;18;1.125;INLAND;87500
16;60;10;6.1359;NEAR BAY;250000
16;411;114;0.4999;INLAND;73500
46;105;20;3.9643;<1H OCEAN;275000
43;88;21;1.725;INLAND;67500
20;120;27;2.625;NEAR BAY;187500
41;98;20;2.225;NEAR OCEAN;212500
15;208;49;4.0208;INLAND;32500
38;175;22;9.7066;<1H OCEAN;182500
26;138;23;4.875;<1H OCEAN;175000
11;72;16;2.625;<1H OCEAN;250000
8;152;19;1.625;INLAND;162500
5;123;21;2.7656;INLAND;50000
10;69;16;3.75;INLAND;120800
17;346;130;3.4861;INLAND;137500
47;127;23;4.3472;INLAND;375000
46;66;22;0.536;INLAND;87500
5;186;43;2.7;INLAND;58800
6;80;16;3.125;INLAND;65000
18;102;17;3.9934;NEAR OCEAN;500001
16;868;178;3;INLAND;175000
17;89;19;2.375;INLAND;155000
16;87;20;4.3571;<1H OCEAN;144600
20;64;21;2.2375;NEAR OCEAN;450000
39;308;38;11.7794;NEAR OCEAN;500001
10;212;38;6.0622;<1H OCEAN;390000
10;443;111;3.125;INLAND;71300
19;99;26;1.7292;INLAND;137500
33;240;49;3.625;INLAND;200000
9;97;20;2.9063;INLAND;55000
52;58;18;1.76;NEAR BAY;166700
52;55;18;1.6591;NEAR OCEAN;112500
17;127;28;4.5179;<1H OCEAN;112500
37;136;20;2.2279;INLAND;225000
52;201;35;1.3036;INLAND;75000
16;108;18;4.375;INLAND;100000
49;135;29;6.1183;NEAR BAY;75000
20;59;24;2.5588;NEAR OCEAN;350000
39;47;16;3.2188;<1H OCEAN;112500
41;80;20;5.25;<1H OCEAN;247200
18;133;29;3.5625;<1H OCEAN;235000
36;26;14;1.9107;NEAR OCEAN;125000
23;141;59;1.125;INLAND;66000
8;240;46;1.4688;INLAND;53800
52;109;20;4.9844;<1H OCEAN;187500
52;137;26;4.025;<1H OCEAN;137500
52;201;44;2.025;INLAND;125000
6;110;26;3.7292;INLAND;475000
26;162;27;2.375;NEAR BAY;137500
36;60;15;1.4583;NEAR BAY;67500
20;41;17;1.5491;<1H OCEAN;225000
16;100;20;6.1359;NEAR BAY;212500
42;106;18;7.5197;NEAR BAY;275000
52;122;26;1.15;INLAND;112500
26;178;40;2.0375;INLAND;57500
5;111;26;1.675;INLAND;112500
16;1463;264;4.975;INLAND;206300
52;114;26;1.075;INLAND;67500
18;123;28;3.0417;INLAND;137500
52;135;34;2.1484;NEAR BAY;181300
49;98;24;3.65;INLAND;162500
52;220;32;15.0001;<1H OCEAN;131300
17;858;262;2.4028;INLAND;67500
21;44;33;0.8571;INLAND;25000
43;89;18;2.0208;INLAND;72500
52;58;52;4.0972;<1H OCEAN;500001
4;170;23;10.9891;INLAND;312500
33;399;87;1.875;INLAND;71300
52;94;24;4.6563;NEAR BAY;350000
52;157;28;3.675;NEAR BAY;162500
52;126;24;10.2264;NEAR BAY;225000
7;120;21;12.5;NEAR OCEAN;281000
45;121;25;2.9821;<1H OCEAN;325000
52;204;34;9.337;<1H OCEAN;500001
19;256;34;5.3269;INLAND;375000
6;202;29;4.125;INLAND;216700
8;140;28;2.125;INLAND;179200
9;254;50;2.7639;INLAND;112500
38;125;42;1.3594;<1H OCEAN;158300
35;249;31;15.0001;INLAND;500001
52;240;44;6.1359;INLAND;225000
52;254;72;3.8625;NEAR BAY;350000
4;58;29;3.375;INLAND;106300
7;189;26;13.8093;<1H OCEAN;500001
32;166;22;7.3004;NEAR OCEAN;125000
42;118;34;2.5795;NEAR BAY;225000
41;101;23;4.125;<1H OCEAN;237500
44;121;29;2.1964;NEAR OCEAN;150000
24;172;42;3.8333;INLAND;93800
26;161;27;5.7485;INLAND;162500
20;200;25;6.5;NEAR BAY;340000
52;90;35;0.8054;INLAND;60000
14;231;36;4.3897;INLAND;71300
28;238;58;0.4999;INLAND;500001
45;131;28;2.6071;INLAND;112500
33;146;31;3.5179;INLAND;84400
13;1115;255;3.5667;INLAND;115600
52;102;29;1.9875;<1H OCEAN;191700
18;164;30;1.6607;INLAND;87500
40;67;17;1.7596;INLAND;93800
16;164;30;1.6563;NEAR OCEAN;42500
42;198;32;3.1563;<1H OCEAN;137500
25;185;32;4.875;INLAND;250000
11;1568;369;3.125;INLAND;77500
16;245;57;1.2639;INLAND;51300
34;161;48;1;<1H OCEAN;187500
33;213;36;4.9167;NEAR BAY;187500
52;102;23;2.25;INLAND;175000
39;143;36;2.8942;NEAR OCEAN;275000
52;96;31;0.75;NEAR BAY;162500
35;215;45;1.6023;NEAR BAY;81300
38;240;29;12.2547;NEAR BAY;500001
7;914;159;4.7917;INLAND;187500
27;173;35;2.0833;INLAND;45000
25;352;41;3.9696;INLAND;500000
23;149;32;2.6458;<1H OCEAN;112500
34;80;26;0.8907;<1H OCEAN;154200
36;116;30;3.8125;<1H OCEAN;136300
38;152;30;0.9274;INLAND;67500
30;140;35;4.163;INLAND;112500
12;232;37;4.1667;NEAR OCEAN;214600
50;187;33;3.3438;<1H OCEAN;500001
33;32;18;4.5938;NEAR OCEAN;112500
18;239;39;5.3168;INLAND;175000
52;189;34;3.0208;INLAND;60000
23;1881;380;3.875;INLAND;125000
28;254;35;4.8571;INLAND;237500
20;156;39;3.05;INLAND;225000
36;191;42;3.375;<1H OCEAN;157500
39;223;37;3.375;INLAND;212500
37;375;58;3.9844;INLAND;150000
20;133;35;3.625;INLAND;67500
52;154;33;3.2875;NEAR BAY;275000
16;255;73;1.6607;INLAND;14999
16;259;53;3.125;INLAND;62500
49;192;41;3.0179;<1H OCEAN;118800
24;221;41;5.1292;NEAR BAY;362500
38;226;44;2.9;INLAND;125000
39;199;36;6.2299;INLAND;105400
10;105;42;0.9722;NEAR BAY;137500
44;202;42;4.35;INLAND;68300
14;362;78;3.5893;INLAND;214300
8;1116;214;2.5893;INLAND;83000
35;324;63;3.4167;INLAND;100000
26;186;48;2.5625;INLAND;103100
17;321;44;7.75;<1H OCEAN;375000
15;202;54;0.8252;INLAND;42500
46;176;43;2.2361;INLAND;93800
52;112;28;1.975;INLAND;47500
43;187;38;1.875;INLAND;137500
52;125;42;3.4375;<1H OCEAN;170000
38;123;36;2.3942;<1H OCEAN;200000
30;146;41;2.3;<1H OCEAN;206300
29;266;42;1.625;INLAND;164300
30;156;45;3.2679;NEAR OCEAN;137500
23;184;44;4.5375;NEAR BAY;350000
52;349;59;3.3036;INLAND;197500
35;120;35;1.9125;INLAND;47500
23;292;56;2.9583;INLAND;91700
23;204;40;9.7646;NEAR OCEAN;500001
18;224;38;3.1042;INLAND;165000
29;227;45;6.4469;NEAR OCEAN;271400
19;121;41;0.9573;INLAND;162500
18;473;115;4.0833;INLAND;137500
43;228;40;10.3203;INLAND;400000
22;2213;372;1.1912;INLAND;170000
13;270;42;6.993;<1H OCEAN;500001
6;248;47;2.125;INLAND;416700
5;260;41;6.5151;NEAR OCEAN;281700
50;196;41;7.6129;NEAR BAY;412500
36;263;73;2.5313;INLAND;162500
8;452;51;12.5915;<1H OCEAN;432400
52;215;41;1.3929;NEAR BAY;104200
6;454;102;10.9704;<1H OCEAN;483300
11;919;199;1.6944;INLAND;137500
35;182;39;2.6417;INLAND;98900
16;349;74;5.359;<1H OCEAN;193800
25;207;41;3.6023;INLAND;131300
25;195;59;3.8889;NEAR OCEAN;187500
27;1709;408;2.4917;INLAND;200000
6;211;51;1.9659;<1H OCEAN;500001
52;224;38;3.017;INLAND;112500
52;142;47;1.8333;<1H OCEAN;312500
52;117;33;0.4999;<1H OCEAN;90600
50;309;47;6.213;<1H OCEAN;285000
15;426;62;5.136;<1H OCEAN;447400
17;2809;635;1.6154;INLAND;87500
30;249;44;4.5;INLAND;92800
21;259;38;5.2681;NEAR OCEAN;500001
4;311;51;9.8091;NEAR OCEAN;500001
52;176;50;3.8068;NEAR BAY;275000
27;334;56;4.875;NEAR OCEAN;284100
17;338;47;7.8118;INLAND;244200
16;284;51;1.8958;INLAND;137500
37;334;54;4.9643;NEAR BAY;335000
33;142;31;3.875;NEAR BAY;225000
37;407;67;15.0001;<1H OCEAN;500001
36;284;53;3.1429;INLAND;179200
34;197;44;4.05;<1H OCEAN;200000
31;602;153;1.0667;INLAND;34200
36;291;48;5.6945;INLAND;154200
34;294;49;3;INLAND;162500
38;298;55;4.125;INLAND;71300
17;301;94;4.0583;INLAND;87500
19;2967;528;4.0714;INLAND;437500
28;1491;408;1.4205;INLAND;90000
52;144;54;1.0096;NEAR BAY;162500
30;144;52;2.3929;NEAR OCEAN;134400
43;107;44;0.7054;<1H OCEAN;137500
40;198;41;4.5625;INLAND;100000
10;266;62;2.25;INLAND;75000
2;227;35;3.1591;<1H OCEAN;434700
52;191;52;2.0455;INLAND;72500
2;337;55;3.1042;INLAND;164800
42;343;50;5.5376;INLAND;212500
20;268;78;1.125;INLAND;150000
20;273;49;4.8229;INLAND;158300
10;365;102;1.7969;INLAND;37500
30;414;54;4.975;NEAR BAY;311100
23;207;45;2.4286;INLAND;100000
41;337;65;1.8929;<1H OCEAN;152900
41;247;55;3.5769;<1H OCEAN;135700
32;265;51;3.9375;<1H OCEAN;187500
48;143;41;1.7;NEAR OCEAN;104200
16;238;51;5.375;<1H OCEAN;215700
42;161;40;2.2;<1H OCEAN;153100
20;260;67;3.5208;INLAND;76600
2;718;98;4.1;INLAND;315000
10;337;102;0.4999;INLAND;55000
25;287;57;2.3056;INLAND;162500
45;204;62;1;INLAND;90600
5;187;49;1.8;<1H OCEAN;154200
38;300;47;4.0909;INLAND;108300
52;248;68;1.4886;NEAR BAY;450000
28;253;50;1.4732;INLAND;156300
46;206;44;4.15;NEAR BAY;265000
17;250;52;4.6458;<1H OCEAN;500001
30;292;38;6.3624;NEAR BAY;483300
39;246;57;0.716;NEAR BAY;104200
37;239;49;1.4028;<1H OCEAN;105400
39;213;44;2.125;<1H OCEAN;196400
15;644;129;3.2097;INLAND;71300
23;395;70;2.2132;INLAND;100000
38;281;55;1.3906;INLAND;120800
38;898;259;1.6875;INLAND;225000
32;342;58;2.9821;INLAND;155000
25;182;48;1.0208;INLAND;78600
26;272;49;3.4187;INLAND;98400
11;1961;435;0.9227;INLAND;95500
38;248;55;2.1413;INLAND;96900
52;433;69;3.9583;INLAND;162500
52;107;79;0.7917;INLAND;22500
33;370;42;10.6514;NEAR OCEAN;500001
17;449;151;0.8362;INLAND;87500
52;242;59;1.3958;INLAND;67500
16;348;99;2.0938;INLAND;87500
18;414;86;1.5417;INLAND;57500
15;289;49;1.6833;INLAND;113900
18;243;55;2.125;<1H OCEAN;175000
2;556;63;8.4411;<1H OCEAN;500001
52;288;86;0.696;INLAND;42500
37;311;61;4.0972;INLAND;101800
5;403;48;12.632;NEAR OCEAN;500001
51;175;43;2.1;NEAR BAY;75000
19;377;69;1.625;INLAND;112500
23;333;92;0.4999;INLAND;100000
46;271;74;2.2321;INLAND;237500
35;167;60;1.5227;<1H OCEAN;350000
34;172;38;2.6442;INLAND;55000
31;265;55;2.125;INLAND;64800
52;361;76;3.2292;NEAR BAY;275000
31;335;53;2.0694;INLAND;175000
8;426;61;7.309;<1H OCEAN;367900
17;1573;272;2.1719;NEAR OCEAN;420000
52;210;56;1.1667;NEAR BAY;112500
31;314;61;3.3472;INLAND;91700
33;278;71;0.8941;<1H OCEAN;98200
38;180;43;2.85;<1H OCEAN;90000
10;199;41;2.8958;<1H OCEAN;245800
52;370;62;7.7006;NEAR OCEAN;316700
5;208;78;2.5333;INLAND;75000
19;301;65;3.125;INLAND;65600
21;349;64;5.8691;<1H OCEAN;360000
52;296;63;3.625;INLAND;68600
2;158;43;2.5625;NEAR BAY;60000
44;472;81;2.2083;INLAND;93800
17;290;94;1.7292;INLAND;81300
27;322;81;1.125;INLAND;54400
24;341;64;4;INLAND;166300
52;174;66;1.7763;<1H OCEAN;312500
45;173;42;3.0724;<1H OCEAN;110700
35;352;62;3.6691;INLAND;137500
52;204;74;1.7961;NEAR OCEAN;47500
21;446;73;2.8958;INLAND;135000
22;393;58;3.95;INLAND;178100
15;661;146;0.4999;INLAND;56700
23;282;69;2.4375;NEAR OCEAN;225000
36;361;69;5.5461;NEAR BAY;262500
32;404;74;4.2083;INLAND;125000
39;354;73;2.7679;<1H OCEAN;108900
20;350;95;1.625;INLAND;50000
17;315;89;1.4464;INLAND;79200
18;793;148;2.3125;INLAND;162500
17;277;70;4.0208;<1H OCEAN;341700
26;266;75;2.1211;<1H OCEAN;138100
26;503;69;3.7083;INLAND;147500
36;322;48;4.6111;INLAND;139300
37;452;109;3.7292;INLAND;65800
35;411;74;2.5625;INLAND;146900
5;358;65;3;INLAND;162500
45;332;70;3.1895;<1H OCEAN;156300
43;381;67;3.0313;<1H OCEAN;166100
38;267;57;2.3125;<1H OCEAN;70000
28;256;66;3.0197;<1H OCEAN;137500
18;328;68;4.1167;<1H OCEAN;87500
18;279;59;0.8246;INLAND;91700
43;244;52;1.425;INLAND;69400
27;452;103;2.9;INLAND;87500
10;304;63;2.1964;INLAND;112500
24;407;68;6.0266;INLAND;216700
10;366;61;8.163;<1H OCEAN;250000
35;321;71;2.8056;INLAND;68100
16;241;84;1.375;INLAND;48800
16;324;61;2.4615;INLAND;137500
13;532;111;3.3929;INLAND;108300
28;271;61;1.7062;<1H OCEAN;164600
36;361;63;3.7734;INLAND;63800
29;488;63;6.0774;<1H OCEAN;334400
52;178;53;0.4999;INLAND;82500
33;296;73;2.675;NEAR BAY;22500
48;346;92;1.1875;INLAND;63800
30;540;136;1.3333;INLAND;42500
40;422;63;7.3841;INLAND;172200
45;350;62;2.5938;INLAND;275000
13;330;72;3.4107;INLAND;142500
37;349;79;3.2125;<1H OCEAN;125000
13;221;63;1.9063;<1H OCEAN;175000
16;319;59;4.625;<1H OCEAN;433300
37;424;65;3.3472;NEAR OCEAN;293800
17;1076;283;2.125;INLAND;83900
2;582;70;7.1193;<1H OCEAN;500001
52;241;69;2.619;<1H OCEAN;212500
47;307;69;2.9063;<1H OCEAN;146900
6;502;76;4.2386;INLAND;500001
46;200;77;1.0658;NEAR OCEAN;93800
26;378;75;3.4107;INLAND;82800
52;314;57;1.2404;INLAND;52500
15;539;71;6.3427;<1H OCEAN;305200
14;1382;242;4.1016;INLAND;283300
31;215;62;1.75;INLAND;73800
23;366;62;3.125;<1H OCEAN;375000
33;419;77;3.6429;INLAND;87500
29;377;58;9.5551;NEAR OCEAN;500001
31;372;68;3.5547;NEAR OCEAN;200000
38;238;;1.3897;<1H OCEAN;125000
27;321;64;3.175;INLAND;101600
16;319;68;1.4688;INLAND;90000
5;846;249;7.9885;INLAND;403300
18;335;76;1.2273;INLAND;87500
37;352;65;2.8542;INLAND;275000
49;299;90;1.2096;<1H OCEAN;100000
30;405;86;1.7813;<1H OCEAN;127500
37;196;74;1.2188;<1H OCEAN;218800
43;284;65;4.25;NEAR OCEAN;207500
34;503;99;4.5491;INLAND;375000
8;446;62;9.4356;<1H OCEAN;465600
52;144;63;4.3958;NEAR BAY;225000
36;337;69;3.2404;NEAR OCEAN;225000
52;436;81;1.8625;INLAND;85400
27;336;60;5.3946;INLAND;71800
13;493;76;3.375;INLAND;134100
37;350;57;6.2862;NEAR BAY;500001
17;401;68;4.6518;<1H OCEAN;170200
18;382;128;2.5179;INLAND;58800
48;561;81;3.6312;INLAND;202800
20;78;72;1.0938;<1H OCEAN;187500
52;248;86;2.3;NEAR BAY;109400
30;455;70;4.8958;INLAND;142500
44;305;72;5.9641;<1H OCEAN;275000
21;380;91;4.7222;<1H OCEAN;208300
33;247;80;3.7059;<1H OCEAN;237500
40;299;68;3.0125;<1H OCEAN;166100
22;197;54;2.9286;INLAND;112500
48;409;86;3.6687;NEAR BAY;335000
28;371;71;0.9614;INLAND;55700
45;370;84;1.4853;INLAND;101800
21;427;63;11.3283;<1H OCEAN;500001
42;264;72;1.4063;INLAND;61500
10;416;110;2.2222;<1H OCEAN;262500
25;556;79;4.4583;INLAND;108300
40;282;59;2.35;INLAND;91700
24;225;72;2.8533;NEAR OCEAN;137500
18;402;76;1.9063;INLAND;95800
8;1872;281;4.5882;INLAND;198400
18;329;72;4.6806;<1H OCEAN;187500
52;280;71;1.4844;NEAR OCEAN;83300
34;432;65;5.5435;INLAND;136000
18;391;71;4.3864;INLAND;179500
17;224;70;3.6167;NEAR OCEAN;280000
17;380;69;3.25;INLAND;137500
45;350;;1.8942;NEAR BAY;216700
35;383;92;2.6458;INLAND;102500
38;523;80;5.5693;INLAND;153100
26;395;74;7.3718;INLAND;212500
29;570;76;12.3292;<1H OCEAN;416700
52;188;62;0.9437;<1H OCEAN;129200
27;471;84;3.3333;INLAND;208300
16;396;78;1.3889;INLAND;87500
15;432;87;3.6125;INLAND;100000
34;1901;394;3.0729;INLAND;144600
15;459;95;0.922;INLAND;67500
29;510;84;2.7;INLAND;125000
29;424;78;1.5313;INLAND;43800
39;303;69;4.3438;<1H OCEAN;331800
43;396;91;2.9044;<1H OCEAN;172900
38;324;70;2.55;<1H OCEAN;271400
22;509;103;2.1979;INLAND;152800
21;336;68;4.75;INLAND;121400
44;300;72;2.1786;INLAND;120800
44;348;79;4.7708;NEAR OCEAN;253800
52;403;72;1.6923;NEAR OCEAN;262500
15;476;67;7.1053;INLAND;315200
26;337;69;2.3438;INLAND;100000
24;534;88;5.3254;<1H OCEAN;240500
18;521;118;2.7788;INLAND;91100
10;489;82;6.2702;INLAND;345500
11;586;125;2.8906;NEAR OCEAN;84400
15;255;63;4.6591;NEAR BAY;175000
21;360;96;3.5156;<1H OCEAN;133300
48;540;110;3.6111;INLAND;67500
17;465;83;4.9018;<1H OCEAN;188500
43;355;81;2.4167;INLAND;73900
25;434;74;5.9199;<1H OCEAN;420500
33;629;76;7.6286;<1H OCEAN;330400
52;177;59;2.3611;<1H OCEAN;131300
24;421;64;14.5833;NEAR BAY;500001
16;381;89;2.425;INLAND;76100
52;351;81;2.6667;NEAR BAY;325000
52;568;91;6.1575;NEAR BAY;500001
11;436;70;8.6196;<1H OCEAN;500001
42;412;75;2.5;INLAND;74200
18;408;82;2.0313;INLAND;112500
50;180;89;2.1944;<1H OCEAN;158300
15;2146;361;4.1316;INLAND;200000
16;193;45;3.7578;INLAND;137500
35;520;83;6.4865;NEAR OCEAN;450000
52;335;83;2.2841;NEAR BAY;106300
40;432;102;3.8875;NEAR BAY;228100
44;222;54;5.1136;<1H OCEAN;111700
36;406;71;3.9;<1H OCEAN;115800
18;453;117;1.3523;INLAND;85700
13;503;70;6.1943;INLAND;276100
13;335;89;1.6111;INLAND;74100
25;347;82;4.4531;<1H OCEAN;350000
27;534;85;8.2787;<1H OCEAN;330000
34;431;85;2.625;INLAND;225000
32;320;73;2.9271;INLAND;87500
25;1669;348;5.75;INLAND;176600
31;431;90;2.184;INLAND;77300
43;269;74;2.2969;<1H OCEAN;90600
41;461;101;1.275;INLAND;54000
36;391;74;2.7045;INLAND;102800
28;564;72;11.9666;NEAR OCEAN;500001
45;330;76;4.0469;NEAR BAY;80700
19;1616;324;3.7857;INLAND;78600
41;303;78;2.2212;INLAND;55500
36;294;67;3.5385;INLAND;134400
44;309;121;1.6071;<1H OCEAN;112500
19;531;112;1.9875;NEAR BAY;325000
7;439;84;3.0781;INLAND;162500
17;1480;241;3.9375;INLAND;213200
18;397;89;2.8125;INLAND;143800
37;422;79;3.0625;NEAR OCEAN;159700
33;393;76;4.1029;NEAR OCEAN;122700
46;431;86;3.3182;INLAND;282100
19;518;108;2.7083;INLAND;64500
8;243;75;2.5714;NEAR OCEAN;500001
40;408;102;1.8333;NEAR BAY;69800
19;392;109;6.0426;NEAR BAY;110000
31;418;82;2.775;<1H OCEAN;120800
22;378;78;3.6806;<1H OCEAN;219400
17;382;86;1.425;<1H OCEAN;212500
33;278;91;2.025;INLAND;50000
27;508;93;3.1136;INLAND;183300
42;564;96;4.5625;<1H OCEAN;318800
52;572;109;1.8516;NEAR BAY;85000
36;410;76;4.5303;NEAR BAY;175000
41;268;75;3.2222;NEAR BAY;156300
27;223;80;1.6136;<1H OCEAN;137500
16;352;105;1.6094;INLAND;79500
18;553;100;5.5;INLAND;193800
21;739;125;4.8958;INLAND;117500
26;529;116;3.5;INLAND;103600
50;340;74;1.75;NEAR OCEAN;67500
34;325;60;5.5124;<1H OCEAN;174300
33;349;124;2.375;<1H OCEAN;133300
36;452;80;1.9688;INLAND;226000
33;151;83;1.4224;<1H OCEAN;189600
17;605;159;2;INLAND;87500
25;394;94;2.233;INLAND;55000
44;608;108;3.3882;INLAND;125000
23;633;91;6.4562;INLAND;230000
21;435;96;2.9125;INLAND;112500
26;467;;4.1346;INLAND;187500
37;470;105;2.0368;NEAR OCEAN;243800
35;583;88;5.943;NEAR BAY;288200
52;173;87;2.1094;INLAND;75000
8;508;111;4.0332;INLAND;128300
23;642;203;1.8833;INLAND;96900
37;388;83;5.1664;<1H OCEAN;326700
34;358;87;7.1264;NEAR OCEAN;500001
4;456;91;6.6369;<1H OCEAN;192600
4;1611;239;3.5781;INLAND;244400
14;360;124;2.7411;<1H OCEAN;112500
31;371;74;3.875;INLAND;137500
52;249;78;1.2434;NEAR BAY;500001
25;494;81;9.1531;INLAND;418800
23;1127;225;3.4844;INLAND;143800
36;447;95;4.2578;INLAND;183300
52;287;119;0.8738;INLAND;75000
21;319;120;2.4792;INLAND;60000
43;403;77;4.6667;NEAR OCEAN;384600
44;434;110;1.1944;INLAND;57500
11;686;127;1.7083;INLAND;77300
46;321;101;2.1029;<1H OCEAN;109400
47;508;108;1.9583;INLAND;92600
11;513;104;2.375;INLAND;100000
20;467;95;4.8;NEAR OCEAN;261500
22;434;89;2.4211;INLAND;268800
20;707;114;6.1324;INLAND;164800
52;340;97;1.5208;NEAR BAY;112500
32;444;102;1.1528;INLAND;150000
19;280;84;1.95;<1H OCEAN;137500
28;312;89;2.4107;<1H OCEAN;96400
19;325;74;2.75;<1H OCEAN;90600
42;328;100;2.4464;<1H OCEAN;97400
17;444;83;5.1478;NEAR OCEAN;138900
52;437;105;2.8125;NEAR BAY;500001
29;473;103;7.0309;NEAR BAY;475000
2;790;135;5.0862;INLAND;166500
38;402;86;3.1719;INLAND;106300
52;215;87;0.8668;NEAR BAY;137500
36;404;77;4.525;INLAND;161300
45;417;89;5.1377;<1H OCEAN;360700
6;575;73;7.0215;INLAND;257100
33;376;83;2.1581;INLAND;68300
31;224;88;2.375;NEAR OCEAN;55000
30;442;103;1.5694;INLAND;57900
39;701;130;2.1845;INLAND;112500
34;591;139;3.6528;INLAND;100000
52;322;88;2.125;<1H OCEAN;243800
45;455;92;4.9562;NEAR OCEAN;165700
40;543;;2.2167;NEAR BAY;193800
23;506;96;7.1366;NEAR OCEAN;273900
32;817;206;3.631;INLAND;90400
41;461;107;2.2045;INLAND;41800
23;462;97;2.1705;INLAND;53000
13;524;129;1.5455;INLAND;55000
11;640;134;3.4514;<1H OCEAN;100000
39;322;82;2.6364;<1H OCEAN;148800
12;549;109;3.0208;INLAND;66300
11;1089;198;4.9643;INLAND;176000
16;667;92;5.6147;INLAND;244700
27;429;102;2.3333;INLAND;87500
14;712;131;2.3958;INLAND;102100
36;435;95;1.2292;INLAND;69600
